score_name,score_version,method_family,margin,q,epsilon,n_bad_success_flow_score,split,line_outage_prob,n_samples,n_fail,fail_rate,AUROC,AUPRC,n_inf_score,n_finite_score,top50_recall,top50_precision,top100_recall,top100_precision,top200_recall,top200_precision,top500_recall,top500_precision,K_initial,K_final,l0_truth_calls,tail_audit_count,tail_audit_failure_hits,failure_label_rank_inversion_hits,failure_label_guard_passed,failure_label_fallback_reason,failure_label_fallback_flag,observed_failure_recall_inside_final_k,is_best_overall,is_best_trained_physics
hybrid_m1.2_q97.5_e10,dcopf_hybrid_v001,hybrid,1.2,97.5,10.0,0,train_global,,24000,3063,0.127625,0.9984771097335038,0.9944239407189565,3043,20957,0.01632386549134835,1.0,0.03232125367286973,0.99,0.06464250734573947,0.99,0.16193274567417565,0.992,200,24000,24000,200,199,199,False,rank_inversion_guard_exceeded,True,1.0,False,False
hybrid_m1.2_q97.5_e10,dcopf_hybrid_v001,hybrid,1.2,97.5,10.0,0,val_global,,6000,727,0.12116666666666667,1.0,1.0,727,5273,0.0687757909215956,1.0,0.1375515818431912,1.0,0.2751031636863824,1.0,0.687757909215956,1.0,200,6000,6000,200,200,200,False,rank_inversion_guard_exceeded,True,1.0,False,False
hybrid_m1.2_q97.5_e10,dcopf_hybrid_v001,hybrid,1.2,97.5,10.0,0,val_per_lop,0.004999999888241291,1000,52,0.052,1.0,1.0,52,948,0.9615384615384616,1.0,1.0,0.52,1.0,0.26,1.0,0.104,200,200,250,50,0,0,True,none,False,1.0,False,False
hybrid_m1.2_q97.5_e10,dcopf_hybrid_v001,hybrid,1.2,97.5,10.0,0,val_per_lop,0.00800000037997961,1000,84,0.084,1.0,1.0,84,916,0.5952380952380952,1.0,1.0,0.84,1.0,0.42,1.0,0.168,200,200,250,50,0,0,True,none,False,1.0,False,False
hybrid_m1.2_q97.5_e10,dcopf_hybrid_v001,hybrid,1.2,97.5,10.0,0,val_per_lop,0.010999999940395355,1000,116,0.116,1.0,1.0,116,884,0.43103448275862066,1.0,0.8620689655172413,1.0,1.0,0.58,1.0,0.232,200,200,250,50,0,0,True,none,False,1.0,False,False
hybrid_m1.2_q97.5_e10,dcopf_hybrid_v001,hybrid,1.2,97.5,10.0,0,val_per_lop,0.014000000432133675,1000,133,0.133,1.0,1.0,133,867,0.37593984962406013,1.0,0.7518796992481203,1.0,1.0,0.665,1.0,0.266,200,200,250,50,0,0,True,none,False,1.0,False,False
hybrid_m1.2_q97.5_e10,dcopf_hybrid_v001,hybrid,1.2,97.5,10.0,0,val_per_lop,0.017000000923871994,1000,158,0.158,1.0,1.0,158,842,0.31645569620253167,1.0,0.6329113924050633,1.0,1.0,0.79,1.0,0.316,200,200,250,50,0,0,True,none,False,1.0,False,False
hybrid_m1.2_q97.5_e10,dcopf_hybrid_v001,hybrid,1.2,97.5,10.0,0,val_per_lop,0.019999999552965164,1000,184,0.184,1.0,1.0,184,816,0.2717391304347826,1.0,0.5434782608695652,1.0,1.0,0.92,1.0,0.368,200,200,250,50,0,0,True,none,False,1.0,False,False
hybrid_m1.2_q99_e10,dcopf_hybrid_v001,hybrid,1.2,99.0,10.0,0,train_global,,24000,3063,0.127625,0.9994127868112211,0.9960662510426832,3043,20957,0.01632386549134835,1.0,0.03232125367286973,0.99,0.06464250734573947,0.99,0.16193274567417565,0.992,200,24000,24000,200,199,199,False,rank_inversion_guard_exceeded,True,1.0,False,False
hybrid_m1.2_q99_e10,dcopf_hybrid_v001,hybrid,1.2,99.0,10.0,0,val_global,,6000,727,0.12116666666666667,1.0,1.0,727,5273,0.0687757909215956,1.0,0.1375515818431912,1.0,0.2751031636863824,1.0,0.687757909215956,1.0,200,6000,6000,200,200,200,False,rank_inversion_guard_exceeded,True,1.0,False,False
hybrid_m1.2_q99_e10,dcopf_hybrid_v001,hybrid,1.2,99.0,10.0,0,val_per_lop,0.004999999888241291,1000,52,0.052,1.0,1.0,52,948,0.9615384615384616,1.0,1.0,0.52,1.0,0.26,1.0,0.104,200,200,250,50,0,0,True,none,False,1.0,False,False
hybrid_m1.2_q99_e10,dcopf_hybrid_v001,hybrid,1.2,99.0,10.0,0,val_per_lop,0.00800000037997961,1000,84,0.084,1.0,1.0,84,916,0.5952380952380952,1.0,1.0,0.84,1.0,0.42,1.0,0.168,200,200,250,50,0,0,True,none,False,1.0,False,False
hybrid_m1.2_q99_e10,dcopf_hybrid_v001,hybrid,1.2,99.0,10.0,0,val_per_lop,0.010999999940395355,1000,116,0.116,1.0,1.0,116,884,0.43103448275862066,1.0,0.8620689655172413,1.0,1.0,0.58,1.0,0.232,200,200,250,50,0,0,True,none,False,1.0,False,False
hybrid_m1.2_q99_e10,dcopf_hybrid_v001,hybrid,1.2,99.0,10.0,0,val_per_lop,0.014000000432133675,1000,133,0.133,1.0,1.0,133,867,0.37593984962406013,1.0,0.7518796992481203,1.0,1.0,0.665,1.0,0.266,200,200,250,50,0,0,True,none,False,1.0,False,False
hybrid_m1.2_q99_e10,dcopf_hybrid_v001,hybrid,1.2,99.0,10.0,0,val_per_lop,0.017000000923871994,1000,158,0.158,1.0,1.0,158,842,0.31645569620253167,1.0,0.6329113924050633,1.0,1.0,0.79,1.0,0.316,200,200,250,50,0,0,True,none,False,1.0,False,False
hybrid_m1.2_q99_e10,dcopf_hybrid_v001,hybrid,1.2,99.0,10.0,0,val_per_lop,0.019999999552965164,1000,184,0.184,1.0,1.0,184,816,0.2717391304347826,1.0,0.5434782608695652,1.0,1.0,0.92,1.0,0.368,200,200,250,50,0,0,True,none,False,1.0,False,False
hybrid_m1.5_q90_e10,dcopf_hybrid_v001,hybrid,1.5,90.0,10.0,0,train_global,,24000,3063,0.127625,0.997804741432294,0.9944500526151495,3043,20957,0.01632386549134835,1.0,0.03232125367286973,0.99,0.06464250734573947,0.99,0.16193274567417565,0.992,200,24000,24000,200,199,199,False,rank_inversion_guard_exceeded,True,1.0,False,False
hybrid_m1.5_q90_e10,dcopf_hybrid_v001,hybrid,1.5,90.0,10.0,0,val_global,,6000,727,0.12116666666666667,1.0,1.0,727,5273,0.0687757909215956,1.0,0.1375515818431912,1.0,0.2751031636863824,1.0,0.687757909215956,1.0,200,6000,6000,200,200,200,False,rank_inversion_guard_exceeded,True,1.0,False,False
hybrid_m1.5_q90_e10,dcopf_hybrid_v001,hybrid,1.5,90.0,10.0,0,val_per_lop,0.004999999888241291,1000,52,0.052,1.0,1.0,52,948,0.9615384615384616,1.0,1.0,0.52,1.0,0.26,1.0,0.104,200,200,250,50,0,0,True,none,False,1.0,False,False
hybrid_m1.5_q90_e10,dcopf_hybrid_v001,hybrid,1.5,90.0,10.0,0,val_per_lop,0.00800000037997961,1000,84,0.084,1.0,1.0,84,916,0.5952380952380952,1.0,1.0,0.84,1.0,0.42,1.0,0.168,200,200,250,50,0,0,True,none,False,1.0,False,False
hybrid_m1.5_q90_e10,dcopf_hybrid_v001,hybrid,1.5,90.0,10.0,0,val_per_lop,0.010999999940395355,1000,116,0.116,1.0,1.0,116,884,0.43103448275862066,1.0,0.8620689655172413,1.0,1.0,0.58,1.0,0.232,200,200,250,50,0,0,True,none,False,1.0,False,False
hybrid_m1.5_q90_e10,dcopf_hybrid_v001,hybrid,1.5,90.0,10.0,0,val_per_lop,0.014000000432133675,1000,133,0.133,1.0,1.0,133,867,0.37593984962406013,1.0,0.7518796992481203,1.0,1.0,0.665,1.0,0.266,200,200,250,50,0,0,True,none,False,1.0,False,False
hybrid_m1.5_q90_e10,dcopf_hybrid_v001,hybrid,1.5,90.0,10.0,0,val_per_lop,0.017000000923871994,1000,158,0.158,1.0,1.0,158,842,0.31645569620253167,1.0,0.6329113924050633,1.0,1.0,0.79,1.0,0.316,200,200,250,50,0,0,True,none,False,1.0,False,False
hybrid_m1.5_q90_e10,dcopf_hybrid_v001,hybrid,1.5,90.0,10.0,0,val_per_lop,0.019999999552965164,1000,184,0.184,1.0,1.0,184,816,0.2717391304347826,1.0,0.5434782608695652,1.0,1.0,0.92,1.0,0.368,200,200,250,50,0,0,True,none,False,1.0,False,False
hybrid_m1.5_q95_e10,dcopf_hybrid_v001,hybrid,1.5,95.0,10.0,0,train_global,,24000,3063,0.127625,0.9980007494460748,0.9943107528663259,3043,20957,0.01632386549134835,1.0,0.03232125367286973,0.99,0.06464250734573947,0.99,0.16193274567417565,0.992,200,24000,24000,200,199,199,False,rank_inversion_guard_exceeded,True,1.0,False,False
hybrid_m1.5_q95_e10,dcopf_hybrid_v001,hybrid,1.5,95.0,10.0,0,val_global,,6000,727,0.12116666666666667,0.9999999999999999,1.0,727,5273,0.0687757909215956,1.0,0.1375515818431912,1.0,0.2751031636863824,1.0,0.687757909215956,1.0,200,6000,6000,200,200,200,False,rank_inversion_guard_exceeded,True,1.0,False,False
hybrid_m1.5_q95_e10,dcopf_hybrid_v001,hybrid,1.5,95.0,10.0,0,val_per_lop,0.004999999888241291,1000,52,0.052,1.0,1.0,52,948,0.9615384615384616,1.0,1.0,0.52,1.0,0.26,1.0,0.104,200,200,250,50,0,0,True,none,False,1.0,False,False
hybrid_m1.5_q95_e10,dcopf_hybrid_v001,hybrid,1.5,95.0,10.0,0,val_per_lop,0.00800000037997961,1000,84,0.084,1.0,1.0,84,916,0.5952380952380952,1.0,1.0,0.84,1.0,0.42,1.0,0.168,200,200,250,50,0,0,True,none,False,1.0,False,False
hybrid_m1.5_q95_e10,dcopf_hybrid_v001,hybrid,1.5,95.0,10.0,0,val_per_lop,0.010999999940395355,1000,116,0.116,1.0,1.0,116,884,0.43103448275862066,1.0,0.8620689655172413,1.0,1.0,0.58,1.0,0.232,200,200,250,50,0,0,True,none,False,1.0,False,False
hybrid_m1.5_q95_e10,dcopf_hybrid_v001,hybrid,1.5,95.0,10.0,0,val_per_lop,0.014000000432133675,1000,133,0.133,1.0,1.0,133,867,0.37593984962406013,1.0,0.7518796992481203,1.0,1.0,0.665,1.0,0.266,200,200,250,50,0,0,True,none,False,1.0,False,False
hybrid_m1.5_q95_e10,dcopf_hybrid_v001,hybrid,1.5,95.0,10.0,0,val_per_lop,0.017000000923871994,1000,158,0.158,1.0,1.0,158,842,0.31645569620253167,1.0,0.6329113924050633,1.0,1.0,0.79,1.0,0.316,200,200,250,50,0,0,True,none,False,1.0,False,False
hybrid_m1.5_q95_e10,dcopf_hybrid_v001,hybrid,1.5,95.0,10.0,0,val_per_lop,0.019999999552965164,1000,184,0.184,1.0,1.0,184,816,0.2717391304347826,1.0,0.5434782608695652,1.0,1.0,0.92,1.0,0.368,200,200,250,50,0,0,True,none,False,1.0,False,False
hybrid_m1.5_q97.5_e10,dcopf_hybrid_v001,hybrid,1.5,97.5,10.0,0,train_global,,24000,3063,0.127625,0.9983589279724503,0.9944092962722973,3043,20957,0.01632386549134835,1.0,0.03232125367286973,0.99,0.06464250734573947,0.99,0.16193274567417565,0.992,200,24000,24000,200,199,199,False,rank_inversion_guard_exceeded,True,1.0,False,False
hybrid_m1.5_q97.5_e10,dcopf_hybrid_v001,hybrid,1.5,97.5,10.0,0,val_global,,6000,727,0.12116666666666667,1.0,1.0,727,5273,0.0687757909215956,1.0,0.1375515818431912,1.0,0.2751031636863824,1.0,0.687757909215956,1.0,200,6000,6000,200,200,200,False,rank_inversion_guard_exceeded,True,1.0,False,False
hybrid_m1.5_q97.5_e10,dcopf_hybrid_v001,hybrid,1.5,97.5,10.0,0,val_per_lop,0.004999999888241291,1000,52,0.052,1.0,1.0,52,948,0.9615384615384616,1.0,1.0,0.52,1.0,0.26,1.0,0.104,200,200,250,50,0,0,True,none,False,1.0,False,False
hybrid_m1.5_q97.5_e10,dcopf_hybrid_v001,hybrid,1.5,97.5,10.0,0,val_per_lop,0.00800000037997961,1000,84,0.084,1.0,1.0,84,916,0.5952380952380952,1.0,1.0,0.84,1.0,0.42,1.0,0.168,200,200,250,50,0,0,True,none,False,1.0,False,False
hybrid_m1.5_q97.5_e10,dcopf_hybrid_v001,hybrid,1.5,97.5,10.0,0,val_per_lop,0.010999999940395355,1000,116,0.116,1.0,1.0,116,884,0.43103448275862066,1.0,0.8620689655172413,1.0,1.0,0.58,1.0,0.232,200,200,250,50,0,0,True,none,False,1.0,False,False
hybrid_m1.5_q97.5_e10,dcopf_hybrid_v001,hybrid,1.5,97.5,10.0,0,val_per_lop,0.014000000432133675,1000,133,0.133,1.0,1.0,133,867,0.37593984962406013,1.0,0.7518796992481203,1.0,1.0,0.665,1.0,0.266,200,200,250,50,0,0,True,none,False,1.0,False,False
hybrid_m1.5_q97.5_e10,dcopf_hybrid_v001,hybrid,1.5,97.5,10.0,0,val_per_lop,0.017000000923871994,1000,158,0.158,1.0,1.0,158,842,0.31645569620253167,1.0,0.6329113924050633,1.0,1.0,0.79,1.0,0.316,200,200,250,50,0,0,True,none,False,1.0,False,False
hybrid_m1.5_q97.5_e10,dcopf_hybrid_v001,hybrid,1.5,97.5,10.0,0,val_per_lop,0.019999999552965164,1000,184,0.184,1.0,1.0,184,816,0.2717391304347826,1.0,0.5434782608695652,1.0,1.0,0.92,1.0,0.368,200,200,250,50,0,0,True,none,False,1.0,False,False
hybrid_m1.5_q99_e10,dcopf_hybrid_v001,hybrid,1.5,99.0,10.0,0,train_global,,24000,3063,0.127625,0.999444347687903,0.9961257768583884,3043,20957,0.01632386549134835,1.0,0.03232125367286973,0.99,0.06464250734573947,0.99,0.16193274567417565,0.992,200,24000,24000,200,199,199,False,rank_inversion_guard_exceeded,True,1.0,False,False
hybrid_m1.5_q99_e10,dcopf_hybrid_v001,hybrid,1.5,99.0,10.0,0,val_global,,6000,727,0.12116666666666667,1.0,1.0,727,5273,0.0687757909215956,1.0,0.1375515818431912,1.0,0.2751031636863824,1.0,0.687757909215956,1.0,200,6000,6000,200,200,200,False,rank_inversion_guard_exceeded,True,1.0,False,False
hybrid_m1.5_q99_e10,dcopf_hybrid_v001,hybrid,1.5,99.0,10.0,0,val_per_lop,0.004999999888241291,1000,52,0.052,1.0,1.0,52,948,0.9615384615384616,1.0,1.0,0.52,1.0,0.26,1.0,0.104,200,200,250,50,0,0,True,none,False,1.0,False,False
hybrid_m1.5_q99_e10,dcopf_hybrid_v001,hybrid,1.5,99.0,10.0,0,val_per_lop,0.00800000037997961,1000,84,0.084,1.0,1.0,84,916,0.5952380952380952,1.0,1.0,0.84,1.0,0.42,1.0,0.168,200,200,250,50,0,0,True,none,False,1.0,False,False
hybrid_m1.5_q99_e10,dcopf_hybrid_v001,hybrid,1.5,99.0,10.0,0,val_per_lop,0.010999999940395355,1000,116,0.116,1.0,1.0,116,884,0.43103448275862066,1.0,0.8620689655172413,1.0,1.0,0.58,1.0,0.232,200,200,250,50,0,0,True,none,False,1.0,False,False
hybrid_m1.5_q99_e10,dcopf_hybrid_v001,hybrid,1.5,99.0,10.0,0,val_per_lop,0.014000000432133675,1000,133,0.133,0.9999999999999999,1.0,133,867,0.37593984962406013,1.0,0.7518796992481203,1.0,1.0,0.665,1.0,0.266,200,200,250,50,0,0,True,none,False,1.0,False,False
hybrid_m1.5_q99_e10,dcopf_hybrid_v001,hybrid,1.5,99.0,10.0,0,val_per_lop,0.017000000923871994,1000,158,0.158,1.0,1.0,158,842,0.31645569620253167,1.0,0.6329113924050633,1.0,1.0,0.79,1.0,0.316,200,200,250,50,0,0,True,none,False,1.0,False,False
hybrid_m1.5_q99_e10,dcopf_hybrid_v001,hybrid,1.5,99.0,10.0,0,val_per_lop,0.019999999552965164,1000,184,0.184,1.0,1.0,184,816,0.2717391304347826,1.0,0.5434782608695652,1.0,1.0,0.92,1.0,0.368,200,200,250,50,0,0,True,none,False,1.0,False,False
hybrid_m2_q90_e10,dcopf_hybrid_v001,hybrid,2.0,90.0,10.0,0,train_global,,24000,3063,0.127625,0.9976891013821589,0.9943680919549895,3043,20957,0.01632386549134835,1.0,0.03232125367286973,0.99,0.06464250734573947,0.99,0.16193274567417565,0.992,200,24000,24000,200,199,199,False,rank_inversion_guard_exceeded,True,1.0,False,False
hybrid_m2_q90_e10,dcopf_hybrid_v001,hybrid,2.0,90.0,10.0,0,val_global,,6000,727,0.12116666666666667,1.0,1.0,727,5273,0.0687757909215956,1.0,0.1375515818431912,1.0,0.2751031636863824,1.0,0.687757909215956,1.0,200,6000,6000,200,200,200,False,rank_inversion_guard_exceeded,True,1.0,False,False
hybrid_m2_q90_e10,dcopf_hybrid_v001,hybrid,2.0,90.0,10.0,0,val_per_lop,0.004999999888241291,1000,52,0.052,1.0,1.0,52,948,0.9615384615384616,1.0,1.0,0.52,1.0,0.26,1.0,0.104,200,200,250,50,0,0,True,none,False,1.0,False,False
hybrid_m2_q90_e10,dcopf_hybrid_v001,hybrid,2.0,90.0,10.0,0,val_per_lop,0.00800000037997961,1000,84,0.084,1.0,1.0,84,916,0.5952380952380952,1.0,1.0,0.84,1.0,0.42,1.0,0.168,200,200,250,50,0,0,True,none,False,1.0,False,False
hybrid_m2_q90_e10,dcopf_hybrid_v001,hybrid,2.0,90.0,10.0,0,val_per_lop,0.010999999940395355,1000,116,0.116,1.0,1.0,116,884,0.43103448275862066,1.0,0.8620689655172413,1.0,1.0,0.58,1.0,0.232,200,200,250,50,0,0,True,none,False,1.0,False,False
hybrid_m2_q90_e10,dcopf_hybrid_v001,hybrid,2.0,90.0,10.0,0,val_per_lop,0.014000000432133675,1000,133,0.133,1.0,1.0,133,867,0.37593984962406013,1.0,0.7518796992481203,1.0,1.0,0.665,1.0,0.266,200,200,250,50,0,0,True,none,False,1.0,False,False
hybrid_m2_q90_e10,dcopf_hybrid_v001,hybrid,2.0,90.0,10.0,0,val_per_lop,0.017000000923871994,1000,158,0.158,1.0,1.0,158,842,0.31645569620253167,1.0,0.6329113924050633,1.0,1.0,0.79,1.0,0.316,200,200,250,50,0,0,True,none,False,1.0,False,False
hybrid_m2_q90_e10,dcopf_hybrid_v001,hybrid,2.0,90.0,10.0,0,val_per_lop,0.019999999552965164,1000,184,0.184,0.9999999999999999,1.0,184,816,0.2717391304347826,1.0,0.5434782608695652,1.0,1.0,0.92,1.0,0.368,200,200,250,50,0,0,True,none,False,1.0,False,False
hybrid_m2_q95_e10,dcopf_hybrid_v001,hybrid,2.0,95.0,10.0,0,train_global,,24000,3063,0.127625,0.9978364894287982,0.9944879059610167,3043,20957,0.01632386549134835,1.0,0.03232125367286973,0.99,0.06464250734573947,0.99,0.16193274567417565,0.992,200,24000,24000,200,199,199,False,rank_inversion_guard_exceeded,True,1.0,False,False
hybrid_m2_q95_e10,dcopf_hybrid_v001,hybrid,2.0,95.0,10.0,0,val_global,,6000,727,0.12116666666666667,1.0,1.0,727,5273,0.0687757909215956,1.0,0.1375515818431912,1.0,0.2751031636863824,1.0,0.687757909215956,1.0,200,6000,6000,200,200,200,False,rank_inversion_guard_exceeded,True,1.0,False,False
hybrid_m2_q95_e10,dcopf_hybrid_v001,hybrid,2.0,95.0,10.0,0,val_per_lop,0.004999999888241291,1000,52,0.052,1.0,1.0,52,948,0.9615384615384616,1.0,1.0,0.52,1.0,0.26,1.0,0.104,200,200,250,50,0,0,True,none,False,1.0,False,False
hybrid_m2_q95_e10,dcopf_hybrid_v001,hybrid,2.0,95.0,10.0,0,val_per_lop,0.00800000037997961,1000,84,0.084,1.0,1.0,84,916,0.5952380952380952,1.0,1.0,0.84,1.0,0.42,1.0,0.168,200,200,250,50,0,0,True,none,False,1.0,False,False
hybrid_m2_q95_e10,dcopf_hybrid_v001,hybrid,2.0,95.0,10.0,0,val_per_lop,0.010999999940395355,1000,116,0.116,0.9999999999999999,1.0,116,884,0.43103448275862066,1.0,0.8620689655172413,1.0,1.0,0.58,1.0,0.232,200,200,250,50,0,0,True,none,False,1.0,False,False
hybrid_m2_q95_e10,dcopf_hybrid_v001,hybrid,2.0,95.0,10.0,0,val_per_lop,0.014000000432133675,1000,133,0.133,1.0,1.0,133,867,0.37593984962406013,1.0,0.7518796992481203,1.0,1.0,0.665,1.0,0.266,200,200,250,50,0,0,True,none,False,1.0,False,False
hybrid_m2_q95_e10,dcopf_hybrid_v001,hybrid,2.0,95.0,10.0,0,val_per_lop,0.017000000923871994,1000,158,0.158,1.0,1.0,158,842,0.31645569620253167,1.0,0.6329113924050633,1.0,1.0,0.79,1.0,0.316,200,200,250,50,0,0,True,none,False,1.0,False,False
hybrid_m2_q95_e10,dcopf_hybrid_v001,hybrid,2.0,95.0,10.0,0,val_per_lop,0.019999999552965164,1000,184,0.184,1.0,1.0,184,816,0.2717391304347826,1.0,0.5434782608695652,1.0,1.0,0.92,1.0,0.368,200,200,250,50,0,0,True,none,False,1.0,False,False
hybrid_m2_q97.5_e10,dcopf_hybrid_v001,hybrid,2.0,97.5,10.0,0,train_global,,24000,3063,0.127625,0.9979821310237633,0.9943091072085616,3043,20957,0.01632386549134835,1.0,0.03232125367286973,0.99,0.06464250734573947,0.99,0.16193274567417565,0.992,200,24000,24000,200,199,199,False,rank_inversion_guard_exceeded,True,1.0,False,False
hybrid_m2_q97.5_e10,dcopf_hybrid_v001,hybrid,2.0,97.5,10.0,0,val_global,,6000,727,0.12116666666666667,1.0,1.0,727,5273,0.0687757909215956,1.0,0.1375515818431912,1.0,0.2751031636863824,1.0,0.687757909215956,1.0,200,6000,6000,200,200,200,False,rank_inversion_guard_exceeded,True,1.0,False,False
hybrid_m2_q97.5_e10,dcopf_hybrid_v001,hybrid,2.0,97.5,10.0,0,val_per_lop,0.004999999888241291,1000,52,0.052,1.0,1.0,52,948,0.9615384615384616,1.0,1.0,0.52,1.0,0.26,1.0,0.104,200,200,250,50,0,0,True,none,False,1.0,False,False
hybrid_m2_q97.5_e10,dcopf_hybrid_v001,hybrid,2.0,97.5,10.0,0,val_per_lop,0.00800000037997961,1000,84,0.084,1.0,1.0,84,916,0.5952380952380952,1.0,1.0,0.84,1.0,0.42,1.0,0.168,200,200,250,50,0,0,True,none,False,1.0,False,False
hybrid_m2_q97.5_e10,dcopf_hybrid_v001,hybrid,2.0,97.5,10.0,0,val_per_lop,0.010999999940395355,1000,116,0.116,1.0,1.0,116,884,0.43103448275862066,1.0,0.8620689655172413,1.0,1.0,0.58,1.0,0.232,200,200,250,50,0,0,True,none,False,1.0,False,False
hybrid_m2_q97.5_e10,dcopf_hybrid_v001,hybrid,2.0,97.5,10.0,0,val_per_lop,0.014000000432133675,1000,133,0.133,1.0,1.0,133,867,0.37593984962406013,1.0,0.7518796992481203,1.0,1.0,0.665,1.0,0.266,200,200,250,50,0,0,True,none,False,1.0,False,False
hybrid_m2_q97.5_e10,dcopf_hybrid_v001,hybrid,2.0,97.5,10.0,0,val_per_lop,0.017000000923871994,1000,158,0.158,1.0,1.0,158,842,0.31645569620253167,1.0,0.6329113924050633,1.0,1.0,0.79,1.0,0.316,200,200,250,50,0,0,True,none,False,1.0,False,False
hybrid_m2_q97.5_e10,dcopf_hybrid_v001,hybrid,2.0,97.5,10.0,0,val_per_lop,0.019999999552965164,1000,184,0.184,1.0,1.0,184,816,0.2717391304347826,1.0,0.5434782608695652,1.0,1.0,0.92,1.0,0.368,200,200,250,50,0,0,True,none,False,1.0,False,False
hybrid_m2_q99_e10,dcopf_hybrid_v001,hybrid,2.0,99.0,10.0,0,train_global,,24000,3063,0.127625,0.9984324036893106,0.9953053923743815,3043,20957,0.01632386549134835,1.0,0.03232125367286973,0.99,0.06464250734573947,0.99,0.16193274567417565,0.992,200,24000,24000,200,199,199,False,rank_inversion_guard_exceeded,True,1.0,False,False
hybrid_m2_q99_e10,dcopf_hybrid_v001,hybrid,2.0,99.0,10.0,0,val_global,,6000,727,0.12116666666666667,1.0,1.0,727,5273,0.0687757909215956,1.0,0.1375515818431912,1.0,0.2751031636863824,1.0,0.687757909215956,1.0,200,6000,6000,200,200,200,False,rank_inversion_guard_exceeded,True,1.0,False,False
hybrid_m2_q99_e10,dcopf_hybrid_v001,hybrid,2.0,99.0,10.0,0,val_per_lop,0.004999999888241291,1000,52,0.052,1.0,1.0,52,948,0.9615384615384616,1.0,1.0,0.52,1.0,0.26,1.0,0.104,200,200,250,50,0,0,True,none,False,1.0,False,False
hybrid_m2_q99_e10,dcopf_hybrid_v001,hybrid,2.0,99.0,10.0,0,val_per_lop,0.00800000037997961,1000,84,0.084,1.0,1.0,84,916,0.5952380952380952,1.0,1.0,0.84,1.0,0.42,1.0,0.168,200,200,250,50,0,0,True,none,False,1.0,False,False
hybrid_m2_q99_e10,dcopf_hybrid_v001,hybrid,2.0,99.0,10.0,0,val_per_lop,0.010999999940395355,1000,116,0.116,1.0,1.0,116,884,0.43103448275862066,1.0,0.8620689655172413,1.0,1.0,0.58,1.0,0.232,200,200,250,50,0,0,True,none,False,1.0,False,False
hybrid_m2_q99_e10,dcopf_hybrid_v001,hybrid,2.0,99.0,10.0,0,val_per_lop,0.014000000432133675,1000,133,0.133,1.0,1.0,133,867,0.37593984962406013,1.0,0.7518796992481203,1.0,1.0,0.665,1.0,0.266,200,200,250,50,0,0,True,none,False,1.0,False,False
hybrid_m2_q99_e10,dcopf_hybrid_v001,hybrid,2.0,99.0,10.0,0,val_per_lop,0.017000000923871994,1000,158,0.158,1.0,1.0,158,842,0.31645569620253167,1.0,0.6329113924050633,1.0,1.0,0.79,1.0,0.316,200,200,250,50,0,0,True,none,False,1.0,False,False
hybrid_m2_q99_e10,dcopf_hybrid_v001,hybrid,2.0,99.0,10.0,0,val_per_lop,0.019999999552965164,1000,184,0.184,1.0,1.0,184,816,0.2717391304347826,1.0,0.5434782608695652,1.0,1.0,0.92,1.0,0.368,200,200,250,50,0,0,True,none,False,1.0,False,False
hybrid_m3_q90_e10,dcopf_hybrid_v001,hybrid,3.0,90.0,10.0,0,train_global,,24000,3063,0.127625,0.9975328251439642,0.9939441478513921,3043,20957,0.01632386549134835,1.0,0.03232125367286973,0.99,0.06464250734573947,0.99,0.16193274567417565,0.992,200,24000,24000,200,199,199,False,rank_inversion_guard_exceeded,True,1.0,False,False
hybrid_m3_q90_e10,dcopf_hybrid_v001,hybrid,3.0,90.0,10.0,0,val_global,,6000,727,0.12116666666666667,1.0,1.0,727,5273,0.0687757909215956,1.0,0.1375515818431912,1.0,0.2751031636863824,1.0,0.687757909215956,1.0,200,6000,6000,200,200,200,False,rank_inversion_guard_exceeded,True,1.0,False,False
hybrid_m3_q90_e10,dcopf_hybrid_v001,hybrid,3.0,90.0,10.0,0,val_per_lop,0.004999999888241291,1000,52,0.052,1.0,1.0,52,948,0.9615384615384616,1.0,1.0,0.52,1.0,0.26,1.0,0.104,200,200,250,50,0,0,True,none,False,1.0,False,False
hybrid_m3_q90_e10,dcopf_hybrid_v001,hybrid,3.0,90.0,10.0,0,val_per_lop,0.00800000037997961,1000,84,0.084,1.0,1.0,84,916,0.5952380952380952,1.0,1.0,0.84,1.0,0.42,1.0,0.168,200,200,250,50,0,0,True,none,False,1.0,False,False
hybrid_m3_q90_e10,dcopf_hybrid_v001,hybrid,3.0,90.0,10.0,0,val_per_lop,0.010999999940395355,1000,116,0.116,1.0,1.0,116,884,0.43103448275862066,1.0,0.8620689655172413,1.0,1.0,0.58,1.0,0.232,200,200,250,50,0,0,True,none,False,1.0,False,False
hybrid_m3_q90_e10,dcopf_hybrid_v001,hybrid,3.0,90.0,10.0,0,val_per_lop,0.014000000432133675,1000,133,0.133,1.0,1.0,133,867,0.37593984962406013,1.0,0.7518796992481203,1.0,1.0,0.665,1.0,0.266,200,200,250,50,0,0,True,none,False,1.0,False,False
hybrid_m3_q90_e10,dcopf_hybrid_v001,hybrid,3.0,90.0,10.0,0,val_per_lop,0.017000000923871994,1000,158,0.158,1.0,1.0,158,842,0.31645569620253167,1.0,0.6329113924050633,1.0,1.0,0.79,1.0,0.316,200,200,250,50,0,0,True,none,False,1.0,False,False
